CallNumber,Author,Title,ISBN,PubName,PubYear
E 123 Kir,"Kirkpatrik, F. A.",The Spanish onquistadores /,,Blak,1946
E 123 LIV,"Livi Bai, Massimo.",onquest : the destrution of the Amerian Indios /,0745640001;9780745640006;074564001X;9780745640013,Polity,2008
E 123 MA,"MaLahlan, olin M., author.",Spain's empire in the New World : the role of ideas in institutional and soial hange /,9780520074101;0520074106,University of alifornia Press,1991
E 123 Ma,"MAlister, Lyle N.","Spain and Portugal and the New World, 1492-1700 /",9780196480466;0196480469,OUP,1984
E 123 Spa,,"Spanish explorers in the southern United States, 1528-1543.",,Barnes,1959
E 123 TOD,"Todorov, Tzvetan, 1939-2017.",The onquest of Ameria : the question of the other /,9780060151805;0060151803,Harper & Row,1984
E 123 TOD,"Todorov, Tzvetan, 1939-2017.",The onquest of Ameria : the question of the other /,9780061320958;0061320951,Harper Perennial,1992
E 123 TOD,"Todorov, Tzvetan, 1939-2017.",The onquest of Ameria : the question of the other /,9780806131375;0806131373,University of Oklahoma Press,1999
E 125 Las,"Helps, Arthur, Sir, 1813-1875.",The life of Las asas /,,Bell,1896
E 125 Sot,"unninghame Graham, R. B. 1852-1936. (Robert Bontine),","Hernando de Soto : together with an aount of one of his aptains, Gonalo Silvestre /",,Heinemann,1903
E 125.4 FRI,,Bartolom de Las asas in history: toward an understanding of the man and his work /,9780875809878;0875809871,ornell University Press,2008
E 125.N9 LON,"Long, Haniel, 1888-1956, author.","The marvellous adventure of abeza de Vaa : also, Malinhe /",9780285647091;0285647091,Souvenir Press,1972
E 125.S7 Her,,"The Hernando de Soto expedition : history, historiography and ""disovery"" in the Southeast /",9780803221574;0803221576,U of Nebraska P,1997
E 127 Bur,"Burrage, H. S.","Early English and Frenh voyages, hiefly from Hakluyt, 1534-1608 /",,Barnes,1959
E 127 FIT,"Fitzmaurie, Andrew.","Humanism and Ameria : an intelletual history of English olonisation, 1500-1625 /",9780521822251;0521822254;9780521036184;0521036186,ambridge University Press,2003
E 127 Fos,"Foss, Mihael.",Undreamed shores : England's wasted empire in Ameria /,9780245519826;0245519823,Harrap,1974
E 127 M,"Mann, F. T.",English disovery of Ameria to 1585 /,,King's rown P,1952
E 127 Qui,"Quinn, David B.","England and the disovery of Ameria, 1481-1620 : from the Bristol voyages of the fifteenth entury to the Pilgrim settlement at Plymouth : the exploration, exploitation, and trial-and-error olonization of North Ameria by the English /",,Knopf,1973
E 127 WRI,,The Elizabethans' Ameria : a olletion of early reports by Englishmen on the New World /,,Arnold,1965
E 127 WRI,,The Elizabethans' Ameria : a olletion of early reports by Englishmen on the New World /,,Harvard University Press,1966
E 129 Hud,"Powys, Llewelyn.",Henry Hudson /,,John Lane,1927
E 129.R2 RAL,"Raleigh, Walter, Sir, 1552-1618.","The disoverie of the large, rih, and bewtiful Empyre of Guiana /",1849022356;9781849022354,Benedition Books,2010
E 129.R2 SIR,"Raleigh, Walter, Sir, 1552-1618.",Sir Walter Ralegh's Disoverie of Guiana /,9780904180879;0904180875,Hakluyt Soiety,2006
E 131 Bou,"Bouher, Philip P.","Les nouvelles Franes : Frane in Ameria, 1500 to 1815 : an imperial perspetive /",9780916617325;0916617327,John arter Brown Library,1989
E 137 MA,"Monville, Brendan, 1962-",These daring disturbers of the publi peae : the struggle for property and power in early New Jersey /,9780812218596;0812218590,University of Pennsylvania Press,2003
E 141 DRI,"Driver, Felix.",Hidden histories of exploration : researhing the RGS-IBG olletions /,1905846304;9781905846306,Royal Holloway University of London in assoiation with the Royal Geographial Soiety (with IBG),2009
E 141 Fra,"Franklin, Wayne.","Disoverers, explorers, settlers : the diligent writers of early Ameria /",9780226260716;0226260712;9780226260723;0226260720,University of hiago Press,1979
E 141 New,,New World enounters /,9780520080201;0520080203;9780520080218;0520080211,U of alifornia P,1993
E 141 Rab,"Rabasa, Jose_, 1948-",Inventing Ameria : Spanish historiography and the formation of Euroentrism /,9780806125398;080612539X,U of Oklahoma P,1993
E 15 Fox,"Fox, E. W.",Atlas of Amerian history /,,OUP,1964
E 152 Mer,"Merrell, James H. 1953- (James Hart),",Into the Amerian woods : negotiators on the Pennsylvania frontier /,9780393046762;0393046761,Norton,1999
E 155 Kan,"Kane, J. N.","Niknames and Sobriquets of U.S. ities, States and ounties /",9780810812550;081081255X,Sarerow P,1979
E 155 STE,"Stewart, George R., 1895-1980 author.",Amerian plae-names : a onise and seletive ditionary for the ontinental United States of Ameria /,,Oxford University Press,1970
E 155 STE,"Stewart, George R., 1895-1980 author.",Names on the land : a historial aount of plae-naming in the United States /,,Random House,1945
E 155 Wes,"Wesley, E. B.",Historial atlas of the United States /,,Philip,1956
E 156 Arn,"Arnold, Alan, 1922-1987.",How to visit Ameria and enjoy it /,,Putnam,1964
E 156 Loo,,Look at the U.S.A..,,Houghton Mifflin,1955
E 157 Ame,,The Amerian Heritage book of great histori plaes.,,Amerian Heritage,1957
E 158 Bae,"Baedeker, Karl.","The United States, with an exursion into Mexio : a handbook for travellers, 1893 /",,Da apo,1971
E 158 Nat,National Geographi Soiety (U.S.).,Ameria's wonderlands : the seni national parks and monuments of the United States.,,The Soiety,1959
E 159 BOR,,"Born in the U.S.A. : birth, ommemoration, and Amerian publi memory /",1558499385;9781558499386;1558499377;9781558499379,University of Massahusetts Press,2012
E 159 Boi,"Boime, Albert.",The unveiling of the national ions : a plea for patrioti ionolasm in a nationalist era /,9780521570671;0521570670,UP,1998
E 159 INT,,Interpreting histori house museums /,0759102503;9780759102507;0759102511;9780759102514,AltaMira,2002
E 159 LOE,"Loewen, James W.",Lies aross Ameria : what our histori sites get wrong /,074329629X;9780743296298,Simon & Shuster,2000
E 159 Lev,"Levinson, Sanford, 1941-",Written in stone : publi monuments in hanging soieties /,9780822322207;082232220X,Duke UP,1998
E 159 PUS,"Pustz, Jennifer",Voies from the bak stairs : interpreting servants' lives at histori house museums /,0875806228;9780875806228,Northern Illinois University Press,2010
E 159 Re,,Relaiming the past : landmarks of women's history /,9780253338426;0253338425,Indiana UP,1992
E 159 Sar,"Sarles, F. B.",olonials and patriots : histori plaes ommemorating our forebears 1700-1783 /,,US Department of the Interior National Park Servie,1964
