Viz,Source,Dimensionality,FormatofPC,Secondary,Layout,Layout Details,Orientation
CodeCity,thumbs100png/Wettel2007.png,3D,Contained,Loosely packed,Shape-based,Rectangle,
Collapsible Cylindrical Tree,thumbs100png/Dachselt2001.png,3D,Adjacent,Adjacent to each other,Linear,,
Collector,thumbs100png/Schulz2011_6.png,3D,Hybrid: Contained+Adjacent (leaves),,Shape-based,Rectangle,
Columnar Tree Map,thumbs100png/Armitage2014.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Compact Box-Drawing,thumbs100png/Hasan2002.png,2D,Node-link,,Linear,,Left-right
Compact Layered Layout,thumbs100png/Marriott2007.png,2D,Node-link,,Linear,,Top-down
Cone Tree,thumbs100png/Robertson1991_1.png,3D,Node-link,,Hybrid: Linear+Shape-based,Cone,Top-down
Contact Tree,thumbs100png/Sallaberry2016.png,2D,Node-link,,Linear,,Bottom-up
Context Treemap,thumbs100png/Csallner2003.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Contour-Based Treemap,thumbs100png/Wu2016.png,2D,Contained,Tightly nested,Shape-based,Circle,
Contrast Spiral Treemap,thumbs100png/Tu2007.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
ControlTree,thumbs100png/Appert2007.png,2D,Node-link,,Linear,,Left-right
CoVennTree,thumbs100png/Lott2015.png,2D,Node-link,,Balloon,,
CropCircles,thumbs100png/Parsia2005.png,2D,Contained,Loosely packed,Shape-based,Circle,
Curled Tree,thumbs100png/Ahmed2007.png,2D,Node-link,,Linear,,Top-down
Curved Tree,thumbs100png/Rostami2014.png,2D,Node-link,,Linear,,Bottom-up
Cushion Treemap,thumbs100png/Wijk1999.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Cushioned Icicle Plot,thumbs100png/Chevalier2007.png,2D,Adjacent,Adjoined by a side,Linear,,Left-right
"D-Map
Diffusion Map",thumbs100png/Chen2016.png,2D,Hyrbid: Contained+Node-link,,Shape-based,Curve,
Data Jewelry Box / HeiankyoView,thumbs100png/Yamaguchi2003.png,2D,Contained,Loosely packed,Shape-based,Square,
DataBurst,thumbs100png/Smith2010.png,2D,Adjacent,Adjoined by a side,Radial,,
DeepTree,thumbs100png/Block2012.png,2D,Node-link,,Linear,,Bottom-up
Degree-of-Interest Tree,thumbs100png/Card2002.png,2D,Node-link,,Linear,,Top-down
DensiTree,thumbs100png/Bouckaert2010.png,2D,Node-link,,Linear,,Top-down
Descendant-Level-View,thumbs100png/Aydin2011.png,2D,Node-link,,Linear,,
Diamond Tree,thumbs100png/Burch2020_3.png,2D,Adjacent,Adjoined by a vertex,Radial,,Top-down
Diamond Tree,thumbs100png/Wang2014.png,2D,Adjacent,Adjoined by a vertex,Radial,,
