Viz,Source,Dimensionality,FormatofPC,Secondary,Layout,Layout Details,Orientation
Strip Treemap,thumbs100png/Baker1995.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Structural Decomposition Tree,thumbs100png/Engel2011.png,2D,Node-link,,Linear,,
Sunburst,thumbs100png/Stasko2000.png,2D,Adjacent,Adjoined by a side,Radial,,Bottom-up
Sunburst/VERSO,thumbs100png/Langelier2005_2.png,3D,Adjacent,Adjacent to each other,Radial,,
Sundown Chart,thumbs100png/Woodburn2019.png,2D,Adjacent,Adjoined by a side,Radial,,
Symmetric 3D Layout,thumbs100png/Hong2008.png,3D,Node-link,,Balloon,,
Syntax Tree Layout,thumbs100png/Chuanxi2011.png,2D,Node-link,,Linear,Hyperbolic,
T2.5D,thumbs100png/Nguyen2000.png,2D,Node-link,,Linear,,Top-down
Tablorer,thumbs100png/Shin2011.png,2D,Adjacent,,Shape-based,Rectangle,Left-right
Template-based Treemap,thumbs100png/Kokash2014.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Textured Treemap,thumbs100png/Holten2005.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Thematic Treemap,thumbs100png/Zhou2020.png,2D,Contained,Loosely packed,Shape-based,Rectangle,
Thread Arcs,thumbs100png/Kerr2003.png,2D,Node-link,,Special: Linear,,
Tidier Drawing,thumbs100png/Reingold1981.png,2D,Node-link,,Linear,,
Tidy Drawing,thumbs100png/Wetherell1979.png,2D,Node-link,,Linear,,Top-down
TimeEdgeTree,thumbs100png/Burch2011.png,2D,Node-link,,Linear,,Top-down
Timeline Tree,thumbs100png/Burch2008.png,2D,Node-link,,Linear,,Top-down
Tip-over Convention,thumbs100png/Eades1993_1.png,2D,Node-link,,Linear,,Left-right
Topo-phylogeny,thumbs100png/Waese2017.png,2D,Hybrid: Contained+Node-link,,Shape-based,Curve,Top-down
Treecube,thumbs100png/Tanaka2003.png,3D,Contained,Tightly nested,Shape-based,Cube,
Treemap (Slice+Dice),thumbs100png/Johnson1991.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Treemap with Bounded Aspect Ratio,thumbs100png/Berg2011.png,2D,Contained,Loosely packed,Shape-based,Rectangle,
Treemap with Minimum Cell Size,thumbs100png/Thorn2006.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Treemap with Ovals,thumbs100png/Johnson1993_2.png,2D,Contained,Loosely packed,Shape-based,Ellipse,
Treemap with Priorities,thumbs100png/Leah2008.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Treemap/VERSO,thumbs100png/Langelier2005_1.png,3D,Contained,Loosely packed,Shape-based,Rectangle,
TreemapBar,thumbs100png/Huang2009.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Trees,thumbs100png/Kleiner1981_1.png,2D,Node-link,,Linear,,Left-right
TreeTeX Layout,thumbs100png/BruggemannKlein1989.png,2D,Node-link,,Linear,,
TreVis,thumbs100png/Adamoli2010.png,2D,Adjacent,Adjoined by a side,Radial,,Top-down
Triangular Aggregate Tree Map,thumbs100png/Chuah1998_2.png,2D,Adjacent,Adjoined by a side,Shape-based,Triangle,
Triangular Tesselation,thumbs100png/Ahuja1986_1.png,2D,Node-link,,Angle-based,,
Uncertainty Treemap,thumbs100png/Sondag2020.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Universal Decimal Classification,thumbs100png/Ducheyne2009.png,2D,Adjacent,Adjoined by a side,Radial,,
Variational Circular Treemap,thumbs100png/Zhao2015.png,2D,Contained,Tightly nested,Shape-based,Circle,
VineMap,thumbs100png/Cui2021.png,2D,Node-link,,Linear,,
Visibility-improved Treemap,thumbs100png/Cao2011.png,2D,Hybrid: Contained+Node-link,,Shape-based,Ellipse,Top-down
Voronoi Tree Maps with Circular Boundaries,thumbs100png/Ahmed2018.png,2D,Contained,Tightly nested,Shape-based,Polygon,
Voronoi Treemap,thumbs100png/Balzer2005.png,2D,Contained,Tightly nested,Shape-based,Polygon,
Walker Layout,thumbs100png/Walker1990.png,2D,Node-link,,Linear,,Top-down
Warnier-Orr Diagram,thumbs100png/Warnier1974.png,2D,Node-link,,Linear,,Left-right
Weighted Map,thumbs100png/Ghoniem2015.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Word Tree,thumbs100png/Wattenberg2008.png,2D,Node-link,,Linear,,
