child,parent,description
E744-S-2012,E,Warriors of disinformation : how lies
E839-W-2012,E,We have not been moved : resisting racism and militarism in 21st century America 
E902-Z-2002,E,Welcome to the desert of the real! : five essays on 11 September and related dates 
E185-W-2012,E,Western fictions
E477-B-2011,E,The 1865 Stoneman's Raid begins : leave nothing for the rebellion to stand upon 
E477-B-2011,E,The 1865 Stoneman's Raid ends : follow him to the ends of the earth 
E184-R-2012,E,The long road to victory : a history of Czechoslovak exile organizations 
E184-R-2012,E,Race and immigration in the United States : new histories 
E184-M-2012,E,A land bright with promise : a refugee of World War II reflects on his life in America 
E179-S-2011,E,The settlement of America : encyclopedia of westward expansion from Jamestown to the closing of the frontier 
E185-H-2011,E,Black feminist politics from Kennedy to Obama 
E745-Z-2011,E,Howard Zinn on war 
E457-S-2011,E,Lincoln's gift from Homer
E277-L-2012,E,The loyal Atlantic : remaking the British Atlantic in the revolutionary era 
E464-H-2012,E,New Hampshire and the Civil War : voices from the Granite State 
E524-H-2011,E,North Carolina in the Civil War 
E18-G-2012,E,On the account : piracy and the Americas
E241-H-2012,E,Saratoga : America's battlefield 
E536-S-2011,E,West Virginia and the Civil War : mountaineers are always free 
E476-B-2012,E,The Battle of Brice's Crossroads 
E476-P-2011,E,The Battle of Piedmont and Hunter's raid on Staunton : the 1864 Shenandoah campaign 
E475-W-2011,E,Gate of hell : campaign for Charleston Harbor
E842-M-2011,E,Kennedy & Nixon : the rivalry that shaped postwar America 
E635-N-2011,E,Onward southern soldiers : religion and the Army of Tennessee in the Civil War 
E528-G-2012,E,Rhode Island and the Civil War : voices from the Ocean State 
E473-K-2012,E,The Battle of Pea Ridge : the Civil War fight for the Ozarks 
E569-B-2011,E,Captain Joseph Boyce and the 1st Missouri Infantry
E178-A-2011,E,The epic of America 
E457-L-2011,E,Lincoln in his own time : a biographical chronicle of his life
E457-T-2012,E,Lincoln's old friends of Menard County
E522-P-2011,E,New Mexico and the Civil War 
E907-O-2012,E,The Obama presidency : a preliminary assessment 
E457-A-2011,E,Abraham Lincoln
E184-B-2011,E,Armenian-Americans : from being to feeling Armenian 
E185-D-2012,E,A history of African-American leadership 
E185-A-2012,E,The invention of the white race. Volume 1
E40-R-2012,E,The labyrinth of North American identities 
E475-D-2011,E,"Death of a nation+""Lee and his men at Gettysburg : the death of a nation "
E512-K-2012,E,Maryland's civil war photographs : the sesquicentennial collection 
E840-I-2011,E,A nation seized : how Karl Rove and the political right stole reality
E181-M-2012,E,For the common defense : a military history of the United States from 1607 to 2012 
E356-R-2012,E,The Lake Erie campaign of 1813 : I shall fight them this day 
E183-T-2012,E,A Cold War turning point : Nixon and China
E467-H-2011,E,Colonels in blue : Michigan
E476-S-2013,E,Command conflicts in Grant's Overland Campaign : ambition and animosity in the Army of the Potomac 
E302-J-2011,E,"Works. Selections. 2011+""Selected writings "
E99-S-2007,E,Sitting Bull and the paradox of Lakota nationhood 
E355-A-2011,E,A wampum denied : Procter's War of 1812 
E747-D-2012,E,The 100 greatest Americans of the 20th century : a social justice hall of fame 
E457-S-2009,E,"Works. Selections. 1980+""Selected speeches and writings "
E302-J-2010,E,"Works. Selections. 2010+""The selected writings of Thomas Jefferson : authoritative texts"
E176-T-2012,E,Why moderates make the best presidents : George Washington to Barack Obama 
E523-T-2012,E,The 124th New York State Volunteers in the Civil War : a history and roster 
E506-T-2012,E,The 47th Indiana Volunteer Infantry : a Civil War History 
E185-D-2009,E,The souls of Black folk  
E518-P-2012,E,Standing firmly by the flag : Nebraska Territory and the Civil War
E468-B-2012,E,True crime in the Civil War : cases of murder
E184-S-2012,E,Puro arte : Filipinos on the stages of empire 
E184-K-2012,E,Race defaced : paradigms of pessimism
E840-A-2012,E,Sketches from Life 
E169-K-2011,E,Nationalism in Europe & America : politics
E906-O-2011,E,Obama
E907-P-2012,E,Politics and economics of North America 
E184-O-2012,E,Racial formation in the twenty-first century 
E473-B-2012,E,The Seven Days' Battles : the war begins anew 
E183-S-2012,E,Navigating Iran : from Carter to Obama 
E46-N-2013,E,North American borderlands 
E907-O-2011,E,The Obama presidency : change and continuity 
E184-S-2011,E,Reproducing race : the paradox of generation mix 
E467-M-2012,E,Robert E. Lee : a biography 
E184-R-2011,E,Race and national power : a sourcebook of Black civil rights from 1862 to 1954 
E447-C-2012,E,Rebellious histories : the Amistad slave revolt and the cultures of late twentieth-century Black transnationalism 
E176-B-2011,E,The politics of the president's wife 
E185-A-2012,E,Race and identity in Barack Obama's Dreams from my father : a collection of critical essays 
E185-L-2012,E,Race
E184-B-2012,E,Racial ambivalence in diverse communities : whiteness and the power of color-blind ideologies 
E199-R-2012,E,Revisiting 1759 : the conquest of Canada in historical perspective 
E185-M-2012,E,Rumor
E907-O-2012,E,The Obama presidency : promise and performance 
E99-S-2012,E,Technology and tradition in the eastern Arctic
E860-W-2012,E,Watergate 
E185-S-2011,E,Murda'
E508-B-2012,E,The Civil War in Kansas : ten years of turmoil 
