child,parent,description
root,,
A,root,Agriculture; hunting and forestry
A_1,A,Agriculture; hunting and related service activities
A_11,A_1,Growing of crops; market gardening; horticulture
A_111,A_11,Growing of cereals and other crops n.e.c.
A_112,A_11,Growing of vegetables; horticultural specialties and nursery products
A_113,A_11,Growing of fruit; nuts; beverage and spice crops
A_12,A_1,Farming of animals
A_121,A_12,Farming of cattle; sheep; goats; horses; asses; mules and hinnies; dairy farming
A_122,A_12,Other animal farming; production of animal products n.e.c.
A_13,A_1,Growing of crops combined with farming of animals (mixed farming)
A_130,A_13,Growing of crops combined with farming of animals (mixed farming)
A_14,A_1,Agricultural and animal husbandry service activities; except veterinary activities
A_140,A_14,Agricultural and animal husbandry service activities; except veterinary activities
A_15,A_1,Hunting; trapping and game propagation including related service activities
A_150,A_15,Hunting; trapping and game propagation including related service activities
A_2,A,Forestry; logging and related service activities
A_20,A_2,Forestry; logging and related service activities
A_200,A_20,Forestry; logging and related service activities
B,root,Fishing
B_5,B,Fishing; aquaculture and service activities incidental to fishing
B_50,B_5,Fishing; aquaculture and service activities incidental to fishing
B_501,B_50,Fishing
B_502,B_50,Aquaculture
C,root,Mining and quarrying
C_10,C,Mining of coal and lignite; extraction of peat
C_101,C_10,Mining and agglomeration of hard coal
C_1010,C_101,Mining and agglomeration of hard coal
C_102,C_10,Mining and agglomeration of lignite
C_1020,C_102,Mining and agglomeration of lignite
C_103,C_10,Extraction and agglomeration of peat
C_1030,C_103,Extraction and agglomeration of peat
C_11,C,Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction; excluding surveying
C_111,C_11,Extraction of crude petroleum and natural gas
C_1110,C_111,Extraction of crude petroleum and natural gas
C_112,C_11,Service activities incidental to oil and gas extraction excluding surveying
C_1120,C_112,Service activities incidental to oil and gas extraction excluding surveying
C_12,C,Mining of uranium and thorium ores
C_120,C_12,Mining of uranium and thorium ores
C_1200,C_120,Mining of uranium and thorium ores
C_13,C,Mining of metal ores
C_131,C_13,Mining of iron ores
C_1310,C_131,Mining of iron ores
C_132,C_13,Mining of non-ferrous metal ores; except uranium and thorium ores
C_1320,C_132,Mining of non-ferrous metal ores; except uranium and thorium ores
C_14,C,Other mining and quarrying
C_141,C_14,Quarrying of stone; sand and clay
C_1410,C_141,Quarrying of stone; sand and clay
C_142,C_14,Mining and quarrying n.e.c.
C_1421,C_142,Mining of chemical and fertilizer minerals
C_1422,C_142,Extraction of salt
C_1429,C_142,Other mining and quarrying n.e.c.
D,root,Manufacturing
D_15,D,Manufacture of food products and beverages
D_151,D_15,Production; processing and preservation of meat; fish; fruit; vegetables; oils and fats
D_1511,D_151,Production; processing and preserving of meat and meat products
D_1512,D_151,Processing and preserving of fish and fish products
D_1513,D_151,Processing and preserving of fruit and vegetables
D_1514,D_151,Manufacture of vegetable and animal oils and fats
D_152,D_15,Manufacture of dairy products
D_1520,D_152,Manufacture of dairy products
D_153,D_15,Manufacture of grain mill products; starches and starch products; and prepared animal feeds
D_1531,D_153,Manufacture of grain mill products
D_1532,D_153,Manufacture of starches and starch products
D_1533,D_153,Manufacture of prepared animal feeds
D_154,D_15,Manufacture of other food products
D_1541,D_154,Manufacture of bakery products
D_1542,D_154,Manufacture of sugar
D_1543,D_154,Manufacture of cocoa; chocolate and sugar confectionery
D_1544,D_154,Manufacture of macaroni; noodles; couscous and similar farinaceous products
D_1549,D_154,Manufacture of other food products n.e.c.
D_155,D_15,Manufacture of beverages
D_1551,D_155,Distilling; rectifying and blending of spirits; ethyl alcohol production from fermented materials
D_1552,D_155,Manufacture of wines
D_1553,D_155,Manufacture of malt liquors and malt
D_1554,D_155,Manufacture of soft drinks; production of mineral waters
D_16,D,Manufacture of tobacco products
D_160,D_16,Manufacture of tobacco products
D_1600,D_160,Manufacture of tobacco products
D_17,D,Manufacture of textiles
D_171,D_17,Spinning; weaving and finishing of textiles
D_1711,D_171,Preparation and spinning of textile fibres; weaving of textiles
D_1712,D_171,Finishing of textiles
D_172,D_17,Manufacture of other textiles
D_1721,D_172,Manufacture of made-up textile articles; except apparel
D_1722,D_172,Manufacture of carpets and rugs
D_1723,D_172,Manufacture of cordage; rope; twine and netting
D_1729,D_172,Manufacture of other textiles n.e.c.
D_173,D_17,Manufacture of knitted and crocheted fabrics and articles
D_1730,D_173,Manufacture of knitted and crocheted fabrics and articles
D_18,D,Manufacture of wearing apparel; dressing and dyeing of fur
D_181,D_18,Manufacture of wearing apparel; except fur apparel
D_1810,D_181,Manufacture of wearing apparel; except fur apparel
D_182,D_18,Dressing and dyeing of fur; manufacture of articles of fur
D_1820,D_182,Dressing and dyeing of fur; manufacture of articles of fur
D_19,D,Tanning and dressing of leather; manufacture of luggage; handbags; saddlery; harness and footwear
D_191,D_19,Tanning and dressing of leather; manufacture of luggage; handbags; saddlery and harness
D_1911,D_191,Tanning and dressing of leather
D_1912,D_191,Manufacture of luggage; handbags and the like; saddlery and harness
D_192,D_19,Manufacture of footwear
D_1920,D_192,Manufacture of footwear
D_20,D,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials
