child,parent,description
E183-Q-1981,E,Inside and out : hostage to Iran
JX4541-K-1973,JX,Insurrection under international law
JX1907-A-1964,JX,International Concilation No 550
JV8760-B-1980,JV,International migration and development in the Arab region 
E183-P-1991,E,Iran
JQ1785-B-1978,JQ,Iran
F869-I-1993,F,Irangeles : Iranians in Los Angeles 
JQ1825-R-1993,JQ,Iraq and democracy : a futuristic perspective 
JC49-C-1993,JC,Islam and the modern Muslim world 
JC599-D-1998,JC,Islam
JC49-I-1994,JC,Islam
JC49-K-1979,JC,"Ḥukūmah al-Islāmīyah. English+""Islamic government "
JV33-A-1954,JV,Islamic law in Africa 
JQ542-I-1984,JQ,Islamisation of Pakistan 
JC49-F-1991,JC,Islamisme
F1612-C-1955,F,Isles to windward 
E183-G-1983,E,Israel in the mind of America 
JQ1830-D-1989,JQ,Israël ultra-secret 
E184-G-1997,E,Jewish power : inside the American Jewish establishment 
F449-K-1990,F,Kentucky : a photographic celebration 
JK468-B-1995,JK,Killing hope : U.S. military and CIA interventions since World War II 
JC49-A-1986,JC,L'islam
FICTay-A-1986,FIC,La vie des fantômes 
E876-M-1988,E,Landslide : the unmaking of the president 1984-1988 
JX1794-A-1967,JX,Le Consulat de Tanger
JQ3946-C-1988,JQ,Le makhzen politique au Maroc : hier & aujourd'hui 
JQ1825-B-1976,JQ,Legislative and political development : Lebanon
DS89-G-1996,DS,Lords of the Lebanese marches : violence and narrative in an Arab society 
E183-P-1989,E,Love from America : a newsman's account of efforts to aid hostages in Tehran 
JC599-T-1992,JC,Making women talk : the interrogation of Palestinian women security detainees by the Israeli general security services 
JA82-L-1972,JA,Medieval political philosophy : a sourcebook 
E876-C-1988,E,Men of zeal : a candid inside story of the Iran-Contra hearings 
JX4138-R-1966,JX,Mer Rouge et golfe d'Aqaba dans l'olution du droit international 
JQ1825-S-1973,JQ,Modernization without revolution ; Lebanon's experience.
E882-G-1992,E,Mr. Bush's war : adventures in the politics of illusion 
JQ3396-G-1992,JQ,Muslim brotherhoods and politics in Senegal 
JS61-L-1967,JS,Muslim cities in the later Middle Ages 
E183-S-1989,E,Nasser and American foreign policy
JC311-K-1960,JC,Nationalism.
E183-T-1988,E,Nest of spies : America's journey to disaster in Iran 
E183-T-1988,E,Nest of spies : America's journey to disaster in Iran 
JX1974-F-1997,JX,Nuclear weapons and arms control in the Middle East 
E840-A-1984,E,Obbligato
E184-O-1995,E,Occidentalism : images of the West 
JQ1825-G-1993,JQ,Oil monarchies : domestic and security challenges in the Arab Gulf States 
E183-F-1983,E,On wings of eagles 
JV8749-A-1975,JV,"Open the gates! : A personal story of illegal"" immigration to Israel "
JV8749-H-1987,JV,"Ruaḥ ḳadim. English+""Operation Babylon "
JQ1825-S-1987,JQ,Organisation of government under the Prophet 
JC49-H-1980,JC,Origins of modern Arab political thought 
JQ1825-B-1980,JQ,Ottoman rule in Damascus
E840-A-1995,E,P.S.
JQ552-C-1988,JQ,Pakistan
JX4084-C-1974,JX,Palestine and international law : the legal aspects of the Arab-Israeli conflict.
DS119-N-1982,DS,Palestine and the United Nations 
JQ1698-S-1962,JQ,Parties and politics in contemporary Japan 
JF274-P-1977,JF,Patrons and clients in Mediterranean societies 
JQ1758-D-1975,JQ,Patterns of political leadership : Egypt
E183-R-1980,E,Paved with good intentions : the American experience and Iran 
E876-L-1988,E,Perilous statecraft : an insider's account of the Iran-Contra affair 
E183-S-1984,E,Pieces of the game : the human drama of Americans held hostage in Iran 
JC49-A-1991,JC,Political Islam : religion and politics in the Arab world 
JQ1825-L-1967,JQ,Political parties in Lebanon ; the challenge of a fragmented political culture 
JQ1825-J-1982,JQ,Political parties in the West Bank under Jordanian regime 1949-1967 
JQ1758-P-1994,JQ,Political parties of the Middle East and North Africa 
JC49-M-1996,JC,Political science : an Islamic perspective 
JA84-K-1970,JA,Political trends in the Arab world : the role of ideas and ideals in politics 
JQ1805-D-1969,JQ,Politics and government in Turkey 
JQ3595-H-1975,JQ,Politics and government of revolutionary Libya 
JQ3189-A-1970,JQ,Politics in North Africa : Algeria
JC49-K-1979,JC,"Ḥukūmah al-Islāmīyah. French+""Pour un gouvernement islamique "
E176-G-1988,E,Presidents of the United States 
JQ629-I-1995,JQ,Profiles of intelligence 
E183-M-1997,E,Promised land
JQ1825-K-1989,JQ,Republic of fear : the politics of modern Iraq 
JQ1850-Q-1975,JQ,Revolutionary transformation in the Arab world : Habash and his comrades from nationalism to Marxism 
PS3555-R-1994,PS,Rise the Euphrates 
JZ3700-S-1997,JZ,Rivers of discord : international water disputes in the Middle East 
JQ1758-R-1993,JQ,Rules and rights in the Middle East : democracy
JC67-J-1955,JC,Sacral kingship in ancient Israel 
JX1588-T-1960,JX,Sahara et communauté 
E183-H-1998,E,Saudi Arabia and the United States : birth of a security partnership 
JV8749-H-1991,JV,"Peliṭim menatsḥim imperyah. English+""Second Exodus : the full story of Jewish illegal immigration to Palestine"
JQ1758-M-1982,JQ,Self-determination in the Middle East 
JQ3292-P-1966,JQ,Sociologie électorale en Afrique du Nord 
E876-S-1988,E,Speaking out : the Reagan presidency from inside the White House 
UB271-W-1987,UB,Spycatcher : the candid autobiography of a senior intelligence officer 
JQ1850-S-1991,JQ,Statecraft in the Middle East : oil
JX3091-R-1980,JX,Studies in international law and diplomatic practice 
JC599S95-S-1991,JC,Syria unmasked : the suppression of human rights by the Asad regime 
JX4131-S-1967,JX,Territorial and historical waters in international law 
JX4084-T-1994,JX,Territorial foundations of the Gulf states 
E183-T-1991,E,Terrorism and democracy 
JC599-T-1996,JC,Testimonies from the Iraqi dungeons : an appeal to human conscience 
E183-O-1990,E,The $36 billion bargain : strategy and politics in U.S. assistance to Israel 
JN1129-O-1990,JN,A history of the Conservative Party- The Age of Balfour and Baldwin 1902-1940 
E183-E-1985,E,The American house of Saud : the secret petrodollar connection 
JZ1572-F-1954,JZ,The Anglo-Iranian oil dispute of 1951-1952 : a study of the role of law in the relations of states 
JQ1825-P-1988,JQ,The Arab Gulf states : steps toward political participation 
JQ1850-M-1992,JQ,The Arab world : nation
E183-S-1984,E,The Armageddon network 
E183-K-1986,E,The Ayatollah in the cathedral 
E183-K-1986,E,The Ayatollah in the Cathedral
JQ1825-R-1987,JQ,The Baʼth and the creation of modern Syria 
JC599-B-1995,JC,"The bedoons of Kuwait : citizens without citizenship"" "
DS219-H-1969,DS,The Bedouins 
E183-A-1982,E,The biggest deal 
DS119-A-1973,DS,The broken sword of justice : America
JX1784-P-1971,JX,The Cinderella service ; British consuls since 1825 
F2272-R-1961,F,"Carnero. English+""The conquest of New Granada "
E855-B-1979,E,The crises of power : an interpretation of United States foreign policy during the Kissinger Years 
E183-R-1982,E,The destined hour : the hostage crisis and one family's ordeal 
JZ1163-F-1997,JZ,The diplomat's dictionary 
E840-D-1976,E,The dying dollar empire and the U.S. imperialist conspiracies : real reasons behind: the energy crisis
E183-B-1988,E,The eagle and the lion : the tragedy of American-Iranian relations 
JQ3831-P-1988,JQ,The Egyptian bureaucracy 
JA84-W-1972,JA,The evolution of the Egyptian national image : from its origins to Ahmad Lutfi al-Sayyid 
JN9711-D-1963,JN,The first Ottoman constitutional period ; a study of Midhat Constitution and Parliament.
E183-C-1970,E,The game of nations ; the amorality of power politics.
JQ1825-B-1963,JQ,The Government of the State of Israel : a critical account of its parliament
JX4521-G-1993,JX,The Gulf War 1990-1991 in international and English law 
E183-K-1990,E,The guts to try : the untold story of the Iran hostage rescue mission by the on-scene desert commander 
E876-S-1988,E,The Iranian triangle : the untold story of Israel's role in the Iran-Contra affair 
DS79-I-1991,DS,The Iraqi revolution of 1958 : the old social classes revisited 
Z6724-C-1996,Z,The Israeli Secret Services 
E51-H-1958,E,The living races of the Sahara Desert 
JX1581-Z-1987,JX,Law
JX4422-H-1979,JX,The Middle Eastern States and the law of the sea 
JQ1758-W-1963,JQ,The modernization of administration in the Near East 
BP67-M-1983,BP,The Muslim community in North America 
