lccparent,lccchild,lcccaption,dcchild,dccaption
E,E 51-73,Pre-Columbian America. The Indians,970.00497,American native peoples
E,E 51-73,Pre-Columbian America. The Indians,970.011,Earliest history to 1492
E,E 75-99,Indians of North America,305.897,American native peoples--social aspects
E,E 75-99,Indians of North America,970.00497,American native peoples
E,E 81-83,Indian wars,973-973.08,United States--History
E,E 99,Indian tribes and cultures,305.897,American native peoples--social aspects
E,E 99,Indian tribes and cultures,970.00497,American native peoples
E,E 101-135,Discovery of America and early explorations,970.01,Early history to 1599
E,E 103-110,Pre-Columbian period,970.011,Earliest history to 1492
E,E 111-120,Columbus,970.015,"Columbus, Christopher--North American history"
E,E 121-135,Post-Columbian period. El Dorado,970.01,Early history to 1599
E,E 141-143,Descriptive accounts of America. Earliest to 1810,917,Geography of and travel in North America
E,E 151-887,United States,917.3,United States--description and travel
E,E 151-887,United States,973,United States
E,E 183.7-183.9,Diplomatic history. Foreign and general relations,327.73,Foreign relations--United States
E,E 184.5-185.98,Afro-Americans,305.896073,African Americans--social aspects
E,E 184.5-185.98,Afro-Americans,973.0496073,African Americans
E,E 186+,"Thirteen North American Colonies before 1776,",973.2,"Colonial period, 1607-1775"
E,E 186-199,Colonial history (1607-1775),973.2,"Colonial period, 1607-1775"
E,E 196,"King William's War, 1689-1697",973.25,"Colonial period, 1689-1732"
E,E 197,"Queen Anne's War, 1702-1713",973.25,"Colonial period, 1689-1732"
E,E 198,"King George's War, 1744-1748",973.26,"Period of extension of English rule, 1732-1763"
E,E 199,"French and Indian War, 1755-1763",973.26,"Period of extension of English rule, 1732-1763"
E,E 201-298,"The Revolution, 1775-1783",973.3,"Periods of Revolution and Confederation, 1775-1789"
E,E 300-453,"Revolution to the Civil War, 1775/1783-1861",973.4-973.6,"Constitutional period, 1789-1809, 1809-1861"
E,E 302.5-302.6,Biography (Late eighteenth century),973.3092,"United States--History--Revolution, 1775-1783 --Personal narratives"
E,E 303-309,"Confederation, 1783-1789",973.318,"Period of confederation, 1783-1789"
E,E 310-337,"Constitutional period, 1789-1809",973.4,"Constitutional period, 1789-1809"
E,E 311-320,"Washington's administrations, 1789-1797",973.41-973.43,"Administration of George Washington, 1789-1797"
E,E 321-330,"John Adams' administration, 1797-1801",973.44,"Administration of John Adams, 1797-1801"
E,E 323,"Troubles with France, 1796-1800",327.73,Foreign relations--United States
E,E 323,"Troubles with France, 1796-1800",973.44,"Administration of John Adams, 1797-1801"
E,E 331-337,"Jefferson's administrations, 1801-1809",973.46-973.48,"Administration of Thomas Jefferson, 1801-1809"
E,E 333,"Purchase of Louisiana, 1803",327.73,Foreign relations--United States
E,E 333,"Purchase of Louisiana, 1803",973.46,"Administration of Thomas Jefferson, 1801-1809"
E,E 335,"War with Tripoli, 1801-1805",973.47,"Tripolitan War, 1801-1805"
E,E 337.5,Nineteenth century (General),973.5-973.509,United States--Civilization--19th century
E,E 341-370,"Madison's administrations, 1809-1817",973.51-973.53,"Administration of James Madison, 1809-1817"
E,E 351.5-364.9,War of 1812,973.52,"War of 1812, 1812-1815"
E,E 365,"War with Algeria, 1815",973.53,"War with Algiers, 1815"
E,E 371-375,"Monroe's administrations, 1817-1825",973.54,"Administration of James Monroe, 1817-1825"
E,E 373,"Missouri Compromise, 1820",326.0973,Slavery and emancipation--United States
E,E 373,"Missouri Compromise, 1820",973.7113,"Wilmot Proviso, 1847, and compromises"
E,E 376-380,"John Quincy Adams' administration, 1825-1829",973.55,"Administration of John Quincy Adams, 1825-1829"
E,E 381-385,"Jackson's administrations, 1829-1837",973.56,"Administration of Andrew Jackson, 1829-1837"
E,E 386-390,"Van Buren's administration, 1837-1841",973.57,"Administration of Martin Van Buren, 1837-1841"
E,E 391-392,"Harrison's (W. H.) administration, March 4-April 4, 1841",973.58,"Administrations of William Henry Harrison and John Tyler, 1841-1845"
E,E 396-400,"Tyler's administration, April 4, 1841-1845",973.58,"Administrations of William Henry Harrison and John Tyler, 1841-1845"
E,E 398,"Northeastern boundary disputes, 1783-1845",327.73,Foreign relations--United States
E,E 401-415.2,"Mexican War, 1846-1848",973.62,"Mexican War, 1845-1848"
E,E 415.6-440.5,"Middle nineteenth century, 1845/1848-1861",973.6,United States--Politics and government--1845-1861
E,E 416-420,"Polk's administration, 1856-1849",973.61,"Administration of James Knox Polk, 1845-1849"
E,E 421-423,"Taylor's administration, 1849-July 9, 1850",973.63,"Administration of Zachary Taylor, 1849-1850"
E,E 423,"Slavery question, 1849-1853",306.3620973,Slavery--United States
E,E 423,"Slavery question, 1849-1853",326.0973,Slavery and emancipation--United States
E,E 426-430,"Fillmore's administration, July 9, 1850-1853",973.64,"Administration of Millard Fillmore, 1850-1853"
E,E 431-435,"Pierce's administration, 1853-1857",973.66,"Administration of Franklin Pierce, 1853-1857"
E,E 433,"Slavery question, 1853-1857",306.3620973,Slavery--United States
E,E 433,"Slavery question, 1853-1857",326.0973,Slavery and emancipation--United States
E,E 436-440.5,"Buchanan's administration, 1857-1861",973.68,"Administration of James Buchanan, 1857-1861"
E,E 438,"Slavery question, 1557-1861",306.3620973,Slavery--United States
E,E 438,"Slavery question, 1557-1861",326.0973,Slavery and emancipation--United States
E,E 441-453,Slavery in the United States. Antislavery movements,306.3620973,Slavery--United States
E,E 441-453,Slavery in the United States. Antislavery movements,326.0973,Slavery and emancipation--United States
E,E 441-453,Slavery in the United States. Antislavery movements,973.7114,Abolition movement
E,E 456-459,"Lincoln's administrations, 1861-April 15, 1865",973.7-973.7109,"Administration of Abraham Lincoln, 1861-1865"
E,E 456-655,"Civil War period, 1861-1865",973.7,"Administration of Abraham Lincoln, 1861-1865; Civil War"
E,E 461-655,"Civil War, 1861-1865",973.7,"Administration of Abraham Lincoln, 1861-1865; Civil War"
E,E 482-489,Confederate States of America,973.713,The South and secession
E,E 661-738,"Late nineteenth century, 1865-1900",973.8,"Reconstruction period, 1865-1901"
E,E 666-670,"Johnson's administration, April 15, 1865-1869",973.81,"Administration of Andrew Johnson, 1865-1869"
E,E 668,"Reconstruction, 1865-1877",973.8-973.809,"Reconstruction period, 1865-1901"
E,E 669,"Purchase of Alaska, 1867",327.73,Foreign relations--United States
E,E 671-680,"Grant's administrations, 1869-1877",973.82,"Administration of Ulysses Simpson Grant, 1869-1877"
E,E 681-685,"Hayes' administration, 1877-1881",973.83,"Administration of Rutherford Birchard Hayes, 1877-1881"
E,E 686-687.9,"Garfield's administration, March 4-September 19, 1881",973.84,"Administrations of James Abram Garfield and Chester Alan Arthur, 1881-1885"
E,E 691-695,"Arthur's administration, September 19, 1881-1885",973.84,"Administrations of James Abram Garfield and Chester Alan Arthur, 1881-1885"
E,E 696-700,"Cleveland's first administration, 1885-1889",973.85,"First administration of Grover Cleveland, 1885-1889"
E,E 701-705,"Benjamin Harrison's administration, 1889-1893",973.86,"Administration of Benjamin Harrison, 1889-1893"
E,E 706-710,"Cleveland's second administration, 1893-1897",973.87,"Second administration of Grover Cleveland, 1893-1897"
E,E 711-738,"McKinley's first administration, 1897-1901",973.88,"Administration of William McKinley, 1897-1901"
E,E 713,"Annexation in 1898 of Hawaii, Philippines, and Puerto Rico",327.73,Foreign relations--United States
E,E 714-735,War of 1898 (Spanish-American War),973.89,"Spanish-American War, 1898"
E,E 740-837.7,Twentieth century,973.91,1901-1953
E,E 751,"McKinley's second administration, March 4-Sept 14, 1901",973.88,"Administration of William McKinley, 1897-1901"
E,E 756-760,"Theodore Roosevelt's administrations, Sept 14, 1901-1909",973.911,"Administration of Theodore Roosevelt, 1901-1909"
E,E 761-765,"Taft's administration, 1909-1913",973.912,"Administration of William Howard Taft, 1909-1913"
E,E 766-783,"Wilson's administrations, 1913-1921",973.913,"Administration of Woodrow Wilson, 1913-1921"
E,E 768,"Purchase of Danish West Indies (Virgin Islands, 1917)",327.73,Foreign relations--United States
E,E 785-786,"Harding's administration, 1921-August 2, 1923",973.914,"Administration of Warren Gamaliel Harding, 1921-1923"
E,E 791-796,"Coolidge's administration, August 2, 1923-1929",973.915,"Administration of Calvin Coolidge, 1923-1929"
E,E 801-805,"Hoover's administration, 1929-1933",973.916,"Administration of Herbert Clark Hoover, 1929-1933"
E,E 806-812,"Roosevelt's (F. D.) administrations, 1933-Apr 12, 1945",973.917,"Administration of Franklin Delano Roosevelt, 1933-1945"
E,E 813-816,"Truman's administrations, April 12, 1945-1953",973.918,"Administration of Harry S Truman, 1945-1953"
E,E 835-837.7,"Eisenhower's administrations, 1953-1961",973.921,"Administration of Dwight David Eisenhower, 1953-1961"
E,E 838-889,"Later twentieth century, 1961-",973.92,1953-2001
E,E 841-843,"Kennedy's administration, 1961-November 22, 1963",973.922,"Administration of John Fitzgerald Kennedy, 1961-1963"
E,E 846-851,"Johnson's administrations, November 22, 1963-1969",973.923,"Administration of Lyndon Baines Johnson, 1963-1969"
E,E 855-861,"Nixon's administrations, 1969-August 9, 1974",973.924,"Administration of Richard Milhous Nixon, 1969-1974"
E,E 865-868,"Ford's administration, August 9, 1974-1977",973.925,"Administration of Gerald Rudolph Ford, 1974-1977"
E,E 872-875,"Carter's administration, 1977-1981",973.926,"Administration of Jimmy (James Earl) Carter, 1977-1981"
E,E 876-880,"Reagan's administrations, 1981-1989",973.927,"Administration of Ronald Reagan, 1981-1989"
E,E 881-884,"Bush's administration, 1989-1993",973.928,"Administration of George Bush, 1989-1993"
E,E 885-887,"Clinton's administrations, 1993-2001",973.929,"Administration of Bill Clinton, 1993-2001"
E,E 895+,Twenty-first century,973.93,2001-
E,E 902,"George W. Bush's administration, 2001",973.931,"Administration of George W. Bush, 2001"
LCC,F,History: America,917-918,America--description & travel
LCC,F,History: America,917.4 -917.409,Northeastern U. S. (New England & Middle Atlantic states)--description & travel
LCC,F,History: America,970-980,History of North America
F,F 1-15,New England,917.4 -917.409,Northeastern U. S. (New England & Middle Atlantic states)--description & travel
F,F 1-15,New England,974 -974.04,Northeastern U. S. (New England & Middle Atlantic states)
F,F 1-975,United States local history,917.4 -917.9,Specific states of United States--description & travel
F,F 1-975,United States local history,974 -979,Specific states of United States
F,F 16-30,Maine,917.41,Maine--description & travel
F,F 16-30,Maine,974.1,Maine
F,F 31-45,New Hampshire,917.42,New Hampshire--description & travel
F,F 31-45,New Hampshire,974.2,New Hampshire
F,F 46-60,Vermont,917.43,Vermont--description & travel
F,F 46-60,Vermont,974.3,Vermont
F,F 61-75,Massachusetts,917.44,Massachusetts--description & travel
F,F 61-75,Massachusetts,974.4,Massachusetts
F,F 76-90,Rhode Island,917.45,Rhode Island--description & travel
F,F 76-90,Rhode Island,974.5,Rhode Island
F,F 91-105,Connecticut,917.46,Connecticut--description & travel
F,F 91-105,Connecticut,974.6,Connecticut
F,F 106,Atlantic coast. Middle Atlantic States,917.4 -917.409,Northeastern U. S. (New England & Middle Atlantic states)--description & travel
F,F 106,Atlantic coast. Middle Atlantic States,974 -974.04,Northeastern U. S. (New England & Middle Atlantic states)
F,F 116-130,New York,917.47,New York (State)--description & travel
F,F 116-130,New York,974.7,New York (State)
F,F 122.1,New Netherlands to 1664,974.702,New York (State)--1620-1776
F,F 131-145,New Jersey,917.49,New Jersey--description & travel
F,F 131-145,New Jersey,974.9,New Jersey
F,F 146-160,Pennsylvania,917.48,Pennsylvania--description & travel
F,F 146-160,Pennsylvania,974.8,Pennsylvania
F,F 161-175,Delaware,917.51,Delaware--description & travel
F,F 161-175,Delaware,975.1,Delaware
F,F 167,"New Sweden (Dutch possession, 1655-1664)",975.102,Delaware--1620-1776
F,F 176-190,Maryland,917.52,Maryland--description & travel
F,F 176-190,Maryland,975.2,Maryland
F,F 191-205,District of Columbia. Washington,917.53,District of Columbia (Washington)--description & travel
F,F 191-205,District of Columbia. Washington,975.3,District of Columbia (Washington)
F,F 206-220,The South. South Atlantic States,917.5 -917.504,Southeastern United States (South Atlantic states)--description & travel
F,F 206-220,The South. South Atlantic States,975 -975.04,Southeastern United States (South Atlantic states)
F,F 221-235,Virginia,917.55,Virginia--description & travel
F,F 221-235,Virginia,975.5,Virginia
F,F 236-250,West Virginia,917.54,West Virginia--description & travel
F,F 236-250,West Virginia,975.4,West Virginia
F,F 251-265,North Carolina,917.56,North Carolina--description & travel
F,F 251-265,North Carolina,975.6,North Carolina
F,F 266-280,South Carolina,917.57,South Carolina--description & travel
F,F 266-280,South Carolina,975.7,South Carolina
F,F 281-295,Georgia,917.58,Georgia--description & travel
F,F 281-295,Georgia,975.8,Georgia
F,F 296-301,Gulf States. West Florida,917.6 -917.609,South central United States; Gulf Coast states--description & travel
F,F 296-301,Gulf States. West Florida,976 -976.04,South central United States; Gulf Coast states
F,F 301,"British East and West Florida, 1763-1783",975.901,Early history to 1763
F,F 301,"British East and West Florida, 1763-1783",975.902,"English period, 1763-1783"
F,F 306-320,Florida,917.59,Florida--description & travel
F,F 306-320,Florida,975.9,Florida
F,F 314,"Florida, Early to 1821",975.01 -975.903,Florida--History--To 1821
F,F 321-335,Alabama,917.61,Alabama--description & travel
F,F 321-335,Alabama,976.1,Alabama
F,F 336-350,Mississippi,917.62,Mississippi--description & travel
F,F 336-350,Mississippi,976.2,Mississippi
F,F 350.5-355,Mississippi River and Valley. Middle West,917.7 -917.709,North central United States; Lake states--description & travel
F,F 350.5-355,Mississippi River and Valley. Middle West,977 -977.03,North central United States; Lake states
F,F 366-380,Louisiana,917.63,Louisiana--description & travel
F,F 366-380,Louisiana,976.3,Louisiana
F,F 372,"French Louisiana, 1698-1803",976.302,"French period, 1718-1763"
F,F 372,"French Louisiana, 1698-1803",976.304,"French and territorial periods, 1803-1812"
F,F 381-395,Texas,917.64,Texas--description & travel
F,F 381-395,Texas,976.4,Texas
F,F 396,Old Southwest. Lower Mississippi Valley,917.6 -917.609,South central United States; Gulf Coast states--description & travel
F,F 396,Old Southwest. Lower Mississippi Valley,976 -976.04,South central United States; Gulf Coast states
F,F 406-420,Arkansas,917.67,Arkansas--description & travel
F,F 406-420,Arkansas,976.7,Arkansas
F,F 431-445,Tennessee,917.68,Tennessee--description & travel
F,F 431-445,Tennessee,976.8,Tennessee
F,F 446-460,Kentucky,917.69,Kentucky--description & travel
F,F 446-460,Kentucky,976.9,Kentucky
F,F 461-475,Missouri,917.78,Missouri--description & travel
F,F 461-475,Missouri,977.8,Missouri
F,F 476-485,Old Northwest. Northwest Territory,917.7 -917.709,North central United States; Lake states--description & travel
F,F 476-485,Old Northwest. Northwest Territory,977 -977.03,North central United States; Lake states
F,F 486-500,Ohio,917.71,Ohio--description & travel
F,F 486-500,Ohio,977.1,Ohio
F,F 516-520,Ohio River and Valley,917.7 -917.709,North central United States; Lake states--description & travel
F,F 516-520,Ohio River and Valley,977 -977.03,North central United States; Lake states
F,F 521-535,Indiana,917.72,Indiana--description & travel
F,F 521-535,Indiana,977.2,Indiana
F,F 536-550,Illinois,917.73,Illinois--description & travel
F,F 536-550,Illinois,977.3,Illinois
F,F 550.5-553.2,Lake Region. Great Lakes,917.7 -917.709,North central United States; Lake states--description & travel
F,F 550.5-553.2,Lake Region. Great Lakes,977 -977.03,North central United States; Lake states
F,F 561-575,Michigan,917.74,Michigan--description & travel
F,F 561-575,Michigan,977.4,Michigan
F,F 576-590,Wisconsin,917.75,Wisconsin--description & travel
F,F 576-590,Wisconsin,977.5,Wisconsin
F,F 590.3-596.3,"West, The. Trans-Mississippi Region. Great Plains",917.8 -917.809,Western United States--description & travel
F,F 590.3-596.3,"West, The. Trans-Mississippi Region. Great Plains",978 -978.03,Western United States
F,F 597,"Northwest, The",917.8 -917.809,Western United States--description & travel
F,F 597,"Northwest, The",978 -978.03,Western United States
F,F 598,Missouri River and Valley,917.8 -917.809,Western United States--description & travel
F,F 598,Missouri River and Valley,978 -978.03,Western United States
F,F 601-615,Minnesota,917.76,Minnesota--description & travel
