parent,child,caption
E,E 881-884,Bush's administration; 1989-1993
E,E 885-887,Clinton's administrations; 1993-2001
E,E 895+,Twenty-first century
E,E 902,George W. Bush's administration; 2001
LCC,F,History: America
F,F 1-15,New England
F,F 1-975,United States local history
F,F 16-30,Maine
F,F 31-45,New Hampshire
F,F 46-60,Vermont
F,F 61-75,Massachusetts
F,F 76-90,Rhode Island
F,F 91-105,Connecticut
F,F 106,Atlantic coast. Middle Atlantic States
F,F 116-130,New York
F,F 122.1,New Netherlands to 1664
F,F 131-145,New Jersey
F,F 146-160,Pennsylvania
F,F 161-175,Delaware
F,F 167,New Sweden (Dutch possession; 1655-1664)
F,F 176-190,Maryland
F,F 191-205,District of Columbia. Washington
F,F 206-220,The South. South Atlantic States
F,F 221-235,Virginia
F,F 236-250,West Virginia
F,F 251-265,North Carolina
F,F 266-280,South Carolina
F,F 281-295,Georgia
F,F 296-301,Gulf States. West Florida
F,F 301,British East and West Florida; 1763-1783
F,F 306-320,Florida
F,F 314,Florida; Early to 1821
F,F 321-335,Alabama
F,F 336-350,Mississippi
F,F 350.5-355,Mississippi River and Valley. Middle West
F,F 366-380,Louisiana
F,F 372,French Louisiana; 1698-1803
F,F 372,French Louisiana; 1698-1803
F,F 381-395,Texas
F,F 381-395,Texas
F,F 396,Old Southwest. Lower Mississippi Valley
F,F 396,Old Southwest. Lower Mississippi Valley
F,F 406-420,Arkansas
F,F 406-420,Arkansas
F,F 431-445,Tennessee
F,F 431-445,Tennessee
F,F 446-460,Kentucky
F,F 446-460,Kentucky
F,F 461-475,Missouri
F,F 461-475,Missouri
F,F 476-485,Old Northwest. Northwest Territory
F,F 476-485,Old Northwest. Northwest Territory
F,F 486-500,Ohio
F,F 486-500,Ohio
F,F 516-520,Ohio River and Valley
F,F 516-520,Ohio River and Valley
F,F 521-535,Indiana
F,F 521-535,Indiana
F,F 536-550,Illinois
F,F 536-550,Illinois
F,F 550.5-553.2,Lake Region. Great Lakes
F,F 550.5-553.2,Lake Region. Great Lakes
F,F 561-575,Michigan
F,F 561-575,Michigan
F,F 576-590,Wisconsin
F,F 576-590,Wisconsin
F,F 590.3-596.3,West; The. Trans-Mississippi Region. Great Plains
F,F 590.3-596.3,West; The. Trans-Mississippi Region. Great Plains
F,F 597,Northwest; The
F,F 597,Northwest; The
F,F 598,Missouri River and Valley
F,F 598,Missouri River and Valley
F,F 601-615,Minnesota
F,F 601-615,Minnesota
F,F 616-630,Iowa
F,F 616-630,Iowa
F,F 631-645,North Dakota
F,F 631-645,North Dakota
F,F 646-660,South Dakota
F,F 646-660,South Dakota
F,F 661-675,Nebraska
F,F 661-675,Nebraska
F,F 676-690,Kansas
F,F 676-690,Kansas
F,F 691-705,Oklahoma
F,F 691-705,Oklahoma
F,F 721-722,Rocky Mountains. Yellowstone National Park
F,F 721-722,Rocky Mountains. Yellowstone National Park
F,F 721-722,Rocky Mountains. Yellowstone National Park
F,F 721-722,Rocky Mountains. Yellowstone National Park
F,F 726-740,Montana
F,F 726-740,Montana
F,F 741-755,Idaho
F,F 741-755,Idaho
F,F 756-770,Wyoming
F,F 756-770,Wyoming
F,F 771-785,Colorado
F,F 771-785,Colorado
F,F 786-790,New Southwest. Colorado River; Canyon; and Valley
F,F 786-790,New Southwest. Colorado River; Canyon; and Valley
F,F 786-790,New Southwest. Colorado River; Canyon; and Valley
F,F 786-790,New Southwest. Colorado River; Canyon; and Valley
F,F 791-805,New Mexico
F,F 791-805,New Mexico
F,F 806-820,Arizona
F,F 806-820,Arizona
F,F 821-835,Utah
F,F 821-835,Utah
F,F 836-850,Nevada
F,F 836-850,Nevada
F,F 850.5-851.5,Pacific States
F,F 850.5-851.5,Pacific States
F,F 851.7,Cascade Range
F,F 851.7,Cascade Range
F,F 852-854,Pacific Northwest. Columbia River & Valley.
