dcchild,dccaption
973.917,"Administration of Franklin Delano Roosevelt, 1933-1945"
973.918,"Administration of Harry S Truman, 1945-1953"
973.921,"Administration of Dwight David Eisenhower, 1953-1961"
973.92,1953-2001
973.922,"Administration of John Fitzgerald Kennedy, 1961-1963"
973.923,"Administration of Lyndon Baines Johnson, 1963-1969"
973.924,"Administration of Richard Milhous Nixon, 1969-1974"
973.925,"Administration of Gerald Rudolph Ford, 1974-1977"
973.926,"Administration of Jimmy (James Earl) Carter, 1977-1981"
973.927,"Administration of Ronald Reagan, 1981-1989"
973.928,"Administration of George Bush, 1989-1993"
973.929,"Administration of Bill Clinton, 1993-2001"
973.93,-2001
973.931,"Administration of George W. Bush, 2001"
917-918,America--description & travel
917.4 -917.409,Northeastern U. S. (New England & Middle Atlantic states)--description & travel
970-980,History of North America
917.4 -917.409,Northeastern U. S. (New England & Middle Atlantic states)--description & travel
974 -974.04,Northeastern U. S. (New England & Middle Atlantic states)
917.4 -917.9,Specific states of United States--description & travel
974 -979,Specific states of United States
917.41,Maine--description & travel
974.1,Maine
917.42,New Hampshire--description & travel
974.2,New Hampshire
917.43,Vermont--description & travel
974.3,Vermont
917.44,Massachusetts--description & travel
974.4,Massachusetts
917.45,Rhode Island--description & travel
974.5,Rhode Island
917.46,Connecticut--description & travel
974.6,Connecticut
917.4 -917.409,Northeastern U. S. (New England & Middle Atlantic states)--description & travel
974 -974.04,Northeastern U. S. (New England & Middle Atlantic states)
917.47,New York (State)--description & travel
974.7,New York (State)
974.702,New York (State)--1620-1776
917.49,New Jersey--description & travel
974.9,New Jersey
917.48,Pennsylvania--description & travel
974.8,Pennsylvania
917.51,Delaware--description & travel
975.1,Delaware
975.102,Delaware--1620-1776
917.52,Maryland--description & travel
975.2,Maryland
917.53,District of Columbia (Washington)--description & travel
975.3,District of Columbia (Washington)
917.5 -917.504,Southeastern United States (South Atlantic states)--description & travel
975 -975.04,Southeastern United States (South Atlantic states)
917.55,Virginia--description & travel
975.5,Virginia
917.54,West Virginia--description & travel
975.4,West Virginia
917.56,North Carolina--description & travel
975.6,North Carolina
917.57,South Carolina--description & travel
975.7,South Carolina
917.58,Georgia--description & travel
975.8,Georgia
917.6 -917.609,South central United States; Gulf Coast states--description & travel
976 -976.04,South central United States; Gulf Coast states
975.901,Early history to 1763
975.902,"English period, 1763-1783"
917.59,Florida--description & travel
975.9,Florida
975.01 -975.903,Florida--History--To 1821
917.61,Alabama--description & travel
976.1,Alabama
917.62,Mississippi--description & travel
976.2,Mississippi
917.7 -917.709,North central United States; Lake states--description & travel
977 -977.03,North central United States; Lake states
917.63,Louisiana--description & travel
976.3,Louisiana
976.302,"French period, 1718-1763"
976.304,"French and territorial periods, 1803-1812"
917.64,Texas--description & travel
976.4,Texas
917.6 -917.609,South central United States; Gulf Coast states--description & travel
976 -976.04,South central United States; Gulf Coast states
917.67,Arkansas--description & travel
976.7,Arkansas
917.68,Tennessee--description & travel
976.8,Tennessee
917.69,Kentucky--description & travel
976.9,Kentucky
917.78,Missouri--description & travel
977.8,Missouri
917.7 -917.709,North central United States; Lake states--description & travel
977 -977.03,North central United States; Lake states
917.71,Ohio--description & travel
977.1,Ohio
