dcchild,dccaption
355.82,Specific kinds of weapons (ordnance)
623.4,Ordnance
355.03,Military situation & policy
355.3 - 355.31,Organization & personnel of military forces
355.35,Combat units according to field of service
355.2 - 355.23,Military resources
355.22,Human resources
355.23,Civilian workers
355.33,Personnel & their hierarchy
355.34,Noncombat services
355.6,Military administration
355.7,Military installations
362.86,Veterans
355.24 - 355.29,Strategic materials
355.621,Supply administration
355.8,Military equipment & supplies; Weapons (Ordnance)
355.54,Basic training
356,Foot forces & warfare
357,Mounted forces & warfare
358.18,Armored forces
355.82,Specific kinds of weapons (ordnance)
358.1,Missile forces; army artillery & armored forces
358.12,Army artillery forces
358.13,Antiaircraft artillery forces
358.16,Coast artillery forces
623.4,Ordnance
358.17,Guided missile forces
358.2,Army engineering
358.3,"Chemical, biological, radiological warfare"
358.4,Air forces & warfare
358.8,Space forces
623,Military & nautical engineering
355.34,Noncombat services
359 - 359.009,Sea (Naval) forces & warfare
359.009,Naval history
359.1,Navy life
359.4 - 359.5,Naval operations & training
359.7,Naval installations
359.82,Specific kinds of weapons (ordnance)
359.83,Transportation equipment & supplies
359.93,Submarine forces
623.82,Nautical craft
359.03,Situation & policy
359.3 - 359.32,Organization & personnel of naval forces
359.7,Naval installations
359.6,Naval administration
362.86,Veterans
359.8,Naval equipment & supplies; Naval weapons
359.338,Seamen
359.96,Marine forces
623.4,Ordnance
359.94,Naval air forces
359.96,Marine forces
359.97,Coast guard
387.1,Ports
527,Celestial navigation
623.88,Seamanship
623.89,Navigation
623.81,Naval architecture
623.82,Nautical craft
623.83,Shipyards
623.84,Hulls of nautical craft
623.85,Engineering systems of nautical craft
623.86,Equipment & outfit of nautical craft
623.87,Power plants of nautical craft
362.1,Diseases (Human)--social services
610,Medical sciences; Medicine
362.1042,Diseases (Human)--social services--social aspects
368.382,Health insurance
362.1,Diseases (Human)--social services
610,Medical sciences; Medicine
362.1,Diseases (Human)--social services
362.1042,Diseases (Human)--social services--social aspects
614.1,Forensic medicine
362.1,Diseases (Human)--social services
614,Incidence & prevention of disease
362.109,Diseases (Human)--history
614.09,Incidence & prevention of disease--history
362.1,Diseases (Human)--social services
614,Incidence & prevention of disease
363.1,Public safety programs
613.6,Special topics of health & safety
616.0252,First aid
617.10262,First aid
362.1042,Diseases (Human)--social services--social aspects
362.108,Services to specific kinds of persons with physical illnesses
362.1969803,Industrial & occupational medicine
613.62,Industrial & occupational health
616.9803,Industrial & occupational medicine
362.1,Diseases (Human)--social services
363.7,Environmental problems
628,Sanitary & municipal engineering
362.10723,Health services--surveys--descriptive research
614.42,Incidence
610,Medical sciences; Medicine
615.5,Therapeutics
615.6,Methods of administering medication
615.8,Specific therapies & kinds of therapies
616,Diseases
615.532,Homeopathy
362.1969,Other diseases; Communicable diseases
614.5,Incidence of & public measures to prevent diseases
616.9,Other diseases; Communicable diseases
362.1969009,Other diseases; Communicable diseases--history
616.909,Other diseases; Communicable diseases--history
362.1969,Other diseases; Communicable diseases
616.9,Other diseases; Communicable diseases
362.196951,Sexually transmitted diseases
616.951,Sexually transmitted diseases
362.19692,Bacterial & viral diseases
616.92,Bacterial & viral diseases
362.196925,Viral diseases
362.1969792,Acquired immune deficiency syndrome (AIDS)
616.925,Viral diseases
616.9792,Acquired immune deficiency syndrome (AIDS)
362.19696,Parasitic diseases
362.1969883,Tropical diseases
616.96,Parasitic diseases
616.9883,Tropical diseases
362.19639,Nutritional & metabolic diseases
616.39,Nutritional & metabolic diseases
615.94,Animal poisons
615.952,Plant & microorganism poisons
362.196989,Diseases due to physical agents
616.989,Diseases due to physical agents
362.1969802,Aviation medicine
362.1969802,Space medicine
616.980213,Aviation medicine
616.980214,Space medicine
362.1967,Diseases of musculoskeletal system
362.19747,Musculoskeletal system--surgery
611.7,"Musculoskeletal system, integument"
612.7,"Musculoskeletal system, integument"
616.7,Diseases of musculoskeletal system
617.47,Musculoskeletal system--surgery
362.1967009,Diseases of musculoskeletal system--history
616.7009,Diseases of musculoskeletal system--history
362.1967,Diseases of musculoskeletal system
616.7,Diseases of musculoskeletal system
362.1962,Diseases of respiratory system
362.196995,Tuberculosis
362.19754,Respiratory system--surgery
611.2,Respiratory organs
612.2,Respiration
616.2,Diseases of respiratory system
616.995,Tuberculosis
617.54,Thorax (Chest) & respiratory system
362.1962009,Diseases of respiratory system--history
616.2009,Diseases of respiratory system--history
362.1961,Diseases of cardiovascular system
362.19741,Cardiovascular system--surgery
611.1,Cardiovascular organs
612.1,Cardiovascular system
616.1,Diseases of cardiovascular system
617.41,Cardiovascular system--surgery
362.1961009,Diseases of cardiovascular system--history
616.1009,Diseases of cardiovascular system--history
362.19615,Diseases of blood
362.19642,Diseases of lymphatic system
611.0185,Blood & lymph elements
611.42,Lymphatic system
611.46,Lymphatic glands
612.11,Blood
612.42,Lymph & lymphatics
616.15,Diseases of blood
616.42,Diseases of lymphatic system
362.1961501,Diseases of blood--history
362.1964201,Diseases of lymphatic system--history
616.15009,Diseases of blood--history
616.42009,Diseases of lymphatic system--history
362.1963,Diseases of digestive system
362.19743,Digestive system--surgery
611.3,Digestive tract organs
612.3,Digestion
616.3,Diseases of digestive system
617.43,Digestive system--surgery
362.1963009,Diseases of digestive system--history
616.3009,Diseases of digestive system--history
362.1966,Diseases of the urogenital system
362.19746,Urogenital system--surgery
611.6,Urogenital organs
612.46,Excretion
616.6,Diseases of the urogenital system
617.46,Urogenital system--surgery
362.1966009,Diseases of the urogenital system--history
616.6009,Diseases of the urogenital system--history
362.1964,Endocrine system--human diseases
362.19744,Endocrine system--surgery
611.4,Lymphatic & glandular organs
612.4,"Secretion, excretion, related functions"
616.4,Endocrine system--human diseases
617.44,Endocrine system--surgery
362.1964009,Endocrine system--human diseases--history
616.4009,Endocrine system--human diseases--history
362.1968,Diseases of nervous system & mental disorders
362.19748,Nervous system--surgery
611.8,Nervous system
612.8,Nervous functions--Sensory functions
616.8,Diseases of nervous system & mental disorders
617.48,Nervous system
362.1968009,Diseases of nervous system & mental disorders--history
616.809,Diseases of nervous system & mental disorders--history
616.89009,Mental disorders--history
362.2,Mental & emotional illnesses
616.89,Mental disorders
616.89075,Mental illness--psychiatry--diagnosis
362.25,Neuroses
616.852,Neuroses
362.26,Psychoses
616.89,Mental disorders
362.29,Substance abuse
616.86,Substance abuse (Drug abuse)
362.3,Mental retardation
616.8588,Mental retardation & learning disabilities
616.891,Therapy
616.85,Miscellaneous diseases of nervous system & mental disorders
362.1960754,Physical diagnosis
362.1960757,Radiological diagnosis
615.842,"Radiotherapy (Radiation therapy, Actinotherapy)"
616.0754,Physical diagnosis
616.0757,Radiological diagnosis
616.075409,Physical diagnosis--history
616.075709,Radiological diagnosis--history
362.1960758,Radioisotope scanning
616.07575,Radioisotope scanning
362.197,Surgery & related medical specialties
617,Surgery & related medical specialties
362.197009,Surgery--history
617.09,Surgery--history
362.197,Surgery & related medical specialties
617,Surgery & related medical specialties
362.19705,Surgery utilizing specific instruments & techniques
362.19791,Operative surgery
617.05,Surgery utilizing specific instruments & techniques
617.91,Operative surgery
362.19796,Anesthesiology
617.96,Anesthesiology
362.19705,Surgery utilizing specific instruments & techniques
617.05,Surgery utilizing specific instruments & techniques
617.91,Operative surgery
362.19795,Plastic surgery; Organ transplants
617.95,Plastic surgery; Organ transplants
362.1971,Injuries & wounds
362.19799,Military surgery
617.1,Injuries & wounds
617.99,Military surgery
362.19797,Geriatric surgery
362.19798,Pediatric surgery
617.97,Geriatric surgery
617.98,Pediatric surgery
362.1981,Gynecology
618.1,Gynecology
362.1981,Gynecology
611.65,Ovaries & fallopian tubes
618.1,Gynecology
362.19814,Diseases of uterus
618.14,Diseases of uterus
362.1981,Gynecology
612.62,Female reproductive system
618.1,Gynecology
362.19819,Diseases of breast
612.664,Mammary glands & lactation
616.99449,Breast cancer--medicine
618.19,Diseases of breast
362.1982,Obstetrics
618.2,Obstetrics
362.1982009,Obstetrics--history
618.2009,Obstetrics--history
362.1982,Obstetrics
618.2,Obstetrics
362.1982,Obstetrics
362.1983,Diseases & complications of pregnancy
612.63,Pregnancy & childbirth
618.2,Obstetrics
618.3,Diseases & complications of pregnancy
362.1984,Childbirth (Parturition)--Labor
362.1985,Complicated labor (Dystocia)
618.4,Childbirth (Parturition)--Labor
618.5,Complicated labor (Dystocia)
362.1988,Obstetrical surgery
618.8,Obstetrical surgery
362.1986,Normal puerperium
362.1987,Puerperal diseases
618.6,Normal puerperium
618.7,Puerperal diseases
362.1965,"Diseases of integument, hair, nails"
362.19677,Diseases of connective tissues
362.197477,Skin--surgery
611.77,Integument
612.79,Integument; Skin
616.5,"Diseases of integument, hair, nails"
616.77,Diseases of connective tissues
617.477,Skin--surgery
362.1965009,"Diseases of integument, hair, nails--history"
616.5009,"Diseases of integument, hair, nails--history"
362.19892,Pediatrics
618.92,Pediatrics
362.19892,Pediatrics--history
618.920009,Pediatrics--history
362.196044,Chronic diseases
362.19897,Geriatric disorders
616.044,Chronic diseases
618.97,Geriatrics
362.196044,Chronic diseases--history
616.04409,Chronic diseases--history
362.197522,Oral region
362.1976,Dentistry
617.522059,Oral region--surgery
617.6,Dentistry
362.1976009,Dentistry--history
617.5220591,Oral region--surgery--history
617.609,Dentistry--history
362.19621,"Diseases of nose, larynx, accessory organs"
362.19622,"Diseases of larynx, glottis, vocal cords, epiglottis"
362.19751,Otorhinolaryngology
362.1978,Otology & audiology
616.21,"Diseases of nose, larynx, accessory organs"
616.22,"Diseases of larynx, glottis, vocal cords, epiglottis"
617.51,Head
617.8,Otology & audiology
362.1975101,Otorhinolaryngology--history
617.5109,Head--history
362.1977,Ophthalmology
617.7,Ophthalmology
362.1977009,Ophthalmology--history
617.709,Ophthalmology--history
362.11,Hospitals & related institutions
362.1109,Hospitals & related institutions--history
362.173,Nurses--health services
610.73,Nursing
362.17309,Nurses--health services--history
610.7309,Nursing--history
362.109,Diseases (Human)--history
610.9,Medicine--history
652-653,Processes of written communication; Shorthand
686,Printing & related activities
745.6,"Calligraphy, heraldic design, illumination"
90,"Manuscripts, rare books, other rare printed materials"
417.7,Paleography
2,Books
70.5,Publishing
686,Printing & related activities
20,Library & information sciences
025.04-025.06,Information storage & retrieval systems
10,Bibliography
27,"General libraries, archives, information centers"
303.4833,Information technology--social effects
025.04-025.06,Information storage & retrieval systems
25.524,Information search & retrieval
25.04,Information storage & retrieval systems
